id,displayName
T2WBih45Tzf,Pengapenga Market
uvZVQbWEK4F,Phalombe Market
R3v1b7zcBBP,Phalula Market
Q1Bb466PuFH,PIM Market
oQ4hMXaqjoN,Rumphi Market
b4R4kuNodYD,Sadzi Market
hLY95T6VZn7,Salima Market
nDuAlONMXEF,Santhe Market
Qd4m9Bw6YoL,Sengabay Market
ywTJXgC3K05,Sharpevale Market
Ed2vG6WueF1,Siyasiya Market
ft4QPXRYmUa,Songani Market
xOVbnpY1xIK,Songwe Boarder Market
ov865oVDoJy,Soperela Market
dHWEu8O6Ggt,Sorgin Market
PZASqe4nBu5,Tengani Market
uB6Y8TPqlhn,Thambani Market
RxSkZlCrw8j,Thete Market
CoRRwwe6hFG,Thondwe Market
sSjrgBEvT3k,Thyolo Boma Market
xgyr4u8ow8T,Tsangano Turn off Market
FqsxuFmoVUk,Tsoka Lizulu Market
NjwXB75hxAd,Ulongwe Market
MbBnXZpn1su,Wakawaka (Area 36) Market
VlGtXfYIbvR,Waliranji Market
kCrzZDqyuYN,Wiliro Market
YnH0s1HVX4K,Zalewa Market
wB8qOpyZTSt,Zamkutu Market
F8umKm8dxDE,Zomba Market
